ID,Name,Email,Department,Position,Salary,Start Date,Status
1,Person 1,person1@example.com,Finance,Junior,107306,2020-07-09,On Leave
2,Person 2,person2@example.com,HR,Director,41764,2020-05-20,On Leave
3,Person 3,person3@example.com,Finance,Junior,32750,2020-06-04,Active
4,Person 4,person4@example.com,Sales,Senior,46310,2020-01-04,Suspended
5,Person 5,person5@example.com,Marketing,Lead,136301,2020-09-19,Terminated
6,Person 6,person6@example.com,Operations,Lead,131029,2020-03-06,Suspended
7,Person 7,person7@example.com,HR,Director,46113,2020-06-20,Terminated
8,Person 8,person8@example.com,Engineering,Director,53405,2020-05-05,Suspended
9,Person 9,person9@example.com,Operations,Lead,35273,2020-10-28,Suspended
10,Person 10,person10@example.com,Engineering,Manager,101084,2020-11-13,Terminated
11,Person 11,person11@example.com,Engineering,Lead,45995,2020-01-27,On Leave
12,Person 12,person12@example.com,Finance,Director,123775,2020-03-27,Active
13,Person 13,person13@example.com,Marketing,Junior,69995,2020-10-17,Active
14,Person 14,person14@example.com,HR,Lead,31868,2020-12-03,On Leave
15,Person 15,person15@example.com,Sales,Manager,62782,2020-08-11,On Leave
16,Person 16,person16@example.com,Operations,Director,31144,2020-03-27,Suspended
17,Person 17,person17@example.com,Engineering,Director,85043,2020-06-17,On Leave
18,Person 18,person18@example.com,Marketing,Lead,149040,2020-09-15,Terminated
19,Person 19,person19@example.com,HR,Lead,89289,2020-06-21,Active
20,Person 20,person20@example.com,Engineering,Senior,143127,2020-08-28,On Leave
21,Person 21,person21@example.com,Finance,Junior,94936,2020-04-10,On Leave
22,Person 22,person22@example.com,HR,Lead,63108,2020-11-22,Terminated
23,Person 23,person23@example.com,Engineering,Senior,57153,2020-09-26,Terminated
24,Person 24,person24@example.com,HR,Director,62730,2020-06-09,Active
25,Person 25,person25@example.com,Finance,Manager,81608,2020-02-05,Suspended
26,Person 26,person26@example.com,Operations,Manager,120315,2020-12-18,Active
27,Person 27,person27@example.com,Operations,Manager,47530,2020-03-26,Terminated
28,Person 28,person28@example.com,Marketing,Junior,123389,2020-02-14,Active
29,Person 29,person29@example.com,Engineering,Manager,121025,2020-07-07,Active
